Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S05372600066,05/03/2012,2527,Hy-Vee Food Store #5 / Des Moines,1107 SE ARMY POST RD,DES MOINES,50315,POINT (-93.602372 41.526289),77,Polk,1062310,SPICED RUM,259,Heaven Hill Brands,43026,Admiral Nelson Spiced Rum,12,750,5.77,8.66,24,207.84,18.00,4.76
S20049300032,07/10/2014,2448,Bottle Boutique,705 E. SECOND,INDIANOLA,50125,POINT (-93.55261600000001 41.358176),91,Warren,1012100,CANADIAN WHISKIES,85,Brown-Forman Corporation,12478,Canadian Mist Canadian Why Pet,6,1750,10.50,15.75,1,15.75,1.75,0.46
S09416000022,12/11/2012,2616,Hy-Vee Food and Drug / Clinton,901 SOUTH 4TH ST,CLINTON,52732,POINT (-90.193204 41.836268000000004),23,Clinton,1081380,MISCELLANEOUS SCHNAPPS,65,Jim Beam Brands,82627,Dekuyper Cherry Pucker,12,1000,7.35,11.02,12,132.24,12.00,3.17
S04682000020,03/22/2012,4644,Kwik Shop #588 / Davenport,"1136, E LOCUST ST",DAVENPORT,52803,POINT (-90.55865800000001 41.538288),82,Scott,1012100,CANADIAN WHISKIES,260,Diageo Americas,11293,Crown Royal Canadian Whisky,48,200,4.47,6.70,15,100.50,3.00,0.79
S03579000033,01/16/2012,3692,Wilkie Liquors,724  1ST ST E,MT VERNON,52314,POINT (-91.960918 41.994458),57,Linn,1032200,IMPORTED VODKA - MISC,370,Pernod Ricard USA/Austin Nichols,34029,Absolut Citron (lemon Vodka),12,1000,14.89,22.34,12,268.08,12.00,3.17
S10036400011,01/15/2013,4711,Walgreens #06154 / Dubuque,2260 JOHN F KENNEDY RD,DUBUQUE,52002,POINT (-90.720519 42.511486),31,Dubuque,1081390,IMPORTED SCHNAPPS,260,Diageo Americas,69946,Rumple Minze Peppermint Schnapps Liqueur,12,750,12.50,18.74,12,224.88,9.00,2.38
S21486600032,09/30/2014,3889,Wal-Mart 1005 / Waverly,700  29 ST SW,WAVERLY,50677,POINT (-92.478899 42.70032100000001),09,Bremer,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36308,Hawkeye Vodka,6,1750,7.17,10.76,78,839.28,136.50,36.06
S25951600073,06/01/2015,2588,Hy-Vee Food and Drug #6 / Cedar Rapi,4035 MT. VERNON ROAD S.E.,CEDAR RAPIDS,52403,POINT (-91.60978 41.976835),57,Linn,1071100,AMERICAN COCKTAILS,395,Proximo,58838,Jose Cuervo Authentic Lime Margarita,6,1750,8.20,12.30,18,221.40,31.50,8.32
S19700300035,06/23/2014,2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,POINT (-93.235588 43.148451),17,Cerro Gordo,1031080,VODKA 80 PROOF,260,Diageo Americas,37417,Popov Vodka 80 Prf,12,1000,5.50,8.25,12,99.00,12.00,3.17
S03740500017,01/25/2012,3916,Smokin' Joe's #5 Tobacco and Liquor,1115 ALBIA RD,OTTUMWA,52501,POINT (-92.437224 41.009342),90,Wapello,1011100,BLENDED WHISKIES,260,Diageo Americas,25606,Seagrams 7 Crown Bl Whiskey,12,750,6.14,9.21,1,9.21,0.75,0.20
S07363200013,08/28/2012,2662,Hy-Vee Wine & Spirits / Muscatine,"522 MULBERRY, SUITE A",MUSCATINE,52761,POINT (-91.04437 41.426615),70,Muscatine,1031080,VODKA 80 PROOF,260,Diageo Americas,37418,Popov Vodka 80 Prf,6,1750,8.49,12.74,12,152.88,21.00,5.55
S14127600030,08/27/2013,4384,Kum & Go #2093 / Adel,409 NILE KINNICK DR,ADEL,50003,POINT (-94.017511 41.614114),25,Dallas,1022100,TEQUILA,410,The Patron Spirits Company,88296,Patron Tequila Silver,12,750,27.00,40.50,1,40.50,0.75,0.20
S25382400032,04/29/2015,3894,Smokin' Joe's #6 Tobacco and Liquor,1404  1ST AVE NE,CEDAR RAPIDS,52402,POINT (-91.6537 41.987286),57,Linn,1051010,AMERICAN GRAPE BRANDIES,205,E AND J GALLO WINERY,52579,E & J Vsop Superior Reserve Mini,12,500,5.92,8.88,1,8.88,0.50,0.13
S13619500069,07/30/2013,3390,Okoboji Avenue Liquor,1610 OKOBOJI AVENUE,MILFORD,51351,POINT (-95.149955 43.331525),30,Dickinson,1081600,WHISKEY LIQUEUR,85,Brown-Forman Corporation,86887,Southern Comfort,12,1000,12.47,18.71,12,224.52,12.00,3.17
S21929400049,10/22/2014,2465,Sid's Beverage Shop,2727 DODGE ST,DUBUQUE,52003,POINT (-90.705328 42.491862),31,Dubuque,1012200,SCOTCH WHISKIES,260,Diageo Americas,5347,Johnnie Walker Red Label Scotch,12,1000,17.50,26.25,2,52.50,2.00,0.53
S04904300003,04/05/2012,9002,Mississippi River Distillery,303 N CODY RD,LECLAIRE,52753,POINT (-90.34359400000001 41.599733),82,Scott,1041100,AMERICAN DRY GINS,306,Mississippi River Distilling Co.,31990,River Rose Gin,6,750,16.17,24.25,12,291.00,9.00,2.38
S11592800003,04/11/2013,2567,Hy-Vee Drugstore / Davenport,2200 WEST KIMBERLY,DAVENPORT,52806,POINT (-90.608201 41.560663),82,Scott,1051010,AMERICAN GRAPE BRANDIES,115,"Constellation Wine Company, Inc.",53216,Paul Masson Grande Amber Brandy,12,750,6.29,9.44,12,113.28,9.00,2.38
S07509300010,09/04/2012,3461,Hometown Foods / Stuart,611 S DIVISION ST,STUART,50250,POINT (-94.318443 41.49759900000001),01,Adair,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43124,Bacardi Superior Rum,24,375,4.30,6.45,4,25.80,1.50,0.40
S05352400043,05/02/2012,2543,Hy-Vee Food Store #1 / Ottumwa,1025 NORTH QUINCY AVE,OTTUWMA,52501,POINT (-92.438463 41.01558),90,Wapello,1011100,BLENDED WHISKIES,260,Diageo Americas,25604,Seagrams 7 Crown Bl Whiskey,24,375,3.50,5.25,5,26.25,1.88,0.50
S05378500001,05/07/2012,4353,Kum & Go #302 / Clear Lake,2905 FOURTH AVE,CLEAR LAKE,50248,POINT (-93.652428 41.475689),17,Cerro Gordo,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19066,Jim Beam,12,750,8.42,13.41,12,160.92,9.00,2.38
S18612600022,04/24/2014,3437,Scott's Foods,1120 SUNSET DRIVE,NORWALK,50211,POINT (-93.67803700000002 41.479944),91,Warren,1051110,BLACKBERRY BRANDIES,434,Luxco-St Louis,54646,Arrow Blackberry Flav Brandy,12,750,5.38,8.06,12,96.72,9.00,2.38
S05652200048,05/22/2012,2613,Hy-Vee Food Store #1 / Council Bluff,2323 W BROADWAY,COUNCIL BLUFFS,51501,POINT (-95.879662 41.261925),78,Pottawattamie,1022100,TEQUILA,395,Proximo,89198,Jose Cuervo Especial Reposado Tequila,6,1750,20.25,30.37,6,182.22,10.50,2.77
S18145400034,03/31/2014,2558,Hy-Vee Food Store / Mount Pleasant,1700 E WASHINGTON,MOUNT PLEASANT,52641,POINT (-91.52888 40.962331000000006),44,Henry,1032080,IMPORTED VODKA,65,Jim Beam Brands,34578,Pinnacle Vodka,6,1750,12.08,18.12,300,5436.00,525.00,138.69
S03477900008,01/09/2012,3740,Hometown Foods / Waterloo,1010 E MITCHELL AVE,WATERLOO,50702,POINT (-92.343118 42.476639),07,Black Hawk,1031080,VODKA 80 PROOF,260,Diageo Americas,37418,Popov Vodka 80 Prf,6,1750,8.49,12.74,6,76.44,10.50,2.77
S22083800051,10/29/2014,2585,Hy-Vee Wine and Spirits / Algona,1516 HIGHWAY 169 NORTH,ALGONA,50511,POINT (-94.236003 43.081288),55,Kossuth,1101100,AMERICAN ALCOHOL,434,Luxco-St Louis,41846,Everclear Alcohol,12,750,9.00,13.50,12,162.00,9.00,2.38
S19779700075,06/26/2014,3692,Wilkie Liquors,724  1ST ST E,MT VERNON,52314,POINT (-91.960918 41.994458),57,Linn,1081400,TRIPLE SEC,434,Luxco-St Louis,86507,Paramount Triple Sec,12,1000,3.75,5.62,420,2360.40,420.00,110.95
S13535000060,07/24/2013,2576,Hy-Vee Wine and Spirits / Storm Lake,1250 N LAKE ST,STORM LAKE,50588,POINT (-95.200758 42.65318400000001),11,Buena Vista,1041100,AMERICAN DRY GINS,205,E AND J GALLO WINERY,31473,New Amsterdam Gin,6,1750,13.31,19.97,2,39.94,3.50,0.92
S25375100010,04/29/2015,2625,Hy-Vee Wine and Spirits #2,3301 W KIMBERLY RD,DAVENPORT,52804,,82,Scott,1031080,VODKA 80 PROOF,55,Sazerac North America,37938,Skol Vodka,6,1750,7.11,10.67,6,64.02,10.50,2.77
S09679000004,12/24/2012,4576,THE BOONEDOCKS,228 N HWY 71,ARNOLDS PARK,51331,POINT (-95.125928 43.370941),30,Dickinson,1012200,SCOTCH WHISKIES,260,Diageo Americas,5346,Johnnie Walker Red,12,750,14.00,20.99,12,251.88,9.00,2.38
S23682200001,01/26/2015,2636,Hy-Vee Wine and Spirits / Hubbell,2310 HUBBELL AVE,DES MOINES,50317,POINT (-93.573845 41.604312),77,Polk,1081600,WHISKEY LIQUEUR,260,Diageo Americas,66211,Piehole Pecan Pie Mini,12,500,4.90,7.35,12,88.20,6.00,1.59
S21013800004,09/03/2014,2596,Hy-Vee / Regal Liquors and Video,2453 NORTH COURT,OTTUMWA,52501,POINT (-92.408085 41.049854),90,Wapello,1031200,VODKA FLAVORED,380,Phillips Beverage Company,42141,UV Sugar Crush Mini,1,3000,29.30,43.95,1,43.95,3.00,0.79
S27670600029,09/02/2015,2523,Hy-Vee Food Store / Centerville,414 N 18TH ST,CENTERVILLE,52544,POINT (-92.86795 40.735639),04,Appanoose,1031200,VODKA FLAVORED,380,Phillips Beverage Company,41783,Uv Blue Raspberry Vodka Mini,6,500,4.89,7.34,6,44.04,3.00,0.79
S10441300006,02/05/2013,2603,Hy-Vee Wine and Spirits / Bettendorf,2890 DEVILS GLEN ROAD,BETTENDORF,52722,POINT (-90.483701 41.552338),82,Scott,1031080,VODKA 80 PROOF,322,Prestige Wine and Spirits Group,37146,Opulent Vodka,6,750,10.03,15.05,6,90.30,4.50,1.19
S15229200041,10/21/2013,2558,Hy-Vee Food Store / Mount Pleasant,1700 E WASHINGTON,MOUNT PLEASANT,52641,POINT (-91.52888 40.962331000000006),44,Henry,1011200,STRAIGHT BOURBON WHISKIES,125,"Cedar Ridge Vineyards,LLC",17206,Cedar Ridge Bourbon,6,750,17.60,26.40,6,158.40,4.50,1.19
S07456900070,08/30/2012,2544,Hy-Vee Food Store / Marshalltown,802 SOUTH CENTER,MARSHALLTOWN,50158,POINT (-92.912817 42.039205),64,Marshall,1022100,TEQUILA,65,Jim Beam Brands,89786,Sauza Gold,12,750,8.40,12.59,12,151.08,9.00,2.38
S23157800142,12/23/2014,2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,POINT (-93.235588 43.148451),17,Cerro Gordo,1032080,IMPORTED VODKA,305,MHW Ltd,34065,Double Cross,6,750,17.50,26.25,2,52.50,1.50,0.40
S12778400018,06/13/2013,4129,Cyclone Liquors,626 LINCOLN WAY,AMES,50010,POINT (-93.618911 42.022854),85,Story,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36308,Hawkeye Vodka,6,1750,7.13,10.70,6,64.20,10.50,2.77
S08244600012,10/10/2012,4592,Dyno's #29 / Emmetsburg,"2401, MAIN",EMMETSBURG,50536,POINT (-94.681939 43.111913),74,Palo Alto,1051100,APRICOT BRANDIES,434,Luxco-St Louis,54446,Paramount Apricot Flavored Brandy,12,750,5.47,8.21,3,24.63,2.25,0.59
S08208100064,10/09/2012,2662,Hy-Vee Wine & Spirits / Muscatine,"522 MULBERRY, SUITE A",MUSCATINE,52761,POINT (-91.04437 41.426615),70,Muscatine,1051100,APRICOT BRANDIES,434,Luxco-St Louis,54444,Paramount Apricot Flavored Brandy,24,375,3.54,5.31,5,26.55,1.88,0.50
S27101700012,08/04/2015,4182,Fareway Stores #008 / Dyersville,1207  12TH AVE SE,DYERSVILLE,52040,POINT (-91.111904 42.475277),31,Dubuque,1031080,VODKA 80 PROOF,260,Diageo Americas,37996,Smirnoff Vodka 80 Prf,12,750,8.25,12.38,12,148.56,9.00,2.38
S08427600040,10/18/2012,3805,Washington Street Mini Mart,1601 WASHINGTON ST,DAVENPORT,52084,POINT (-90.665741 42.508947),82,Scott,1051010,AMERICAN GRAPE BRANDIES,115,"Constellation Wine Company, Inc.",53214,Paul Masson Grande Amber Brandy,24,375,3.05,4.57,48,219.36,18.00,4.76
S27581200154,08/27/2015,2587,Hy-Vee Food Store / Johnston,5750 MERLE HAY ROAD,JOHNSTON,50131,POINT (-93.697731 41.665172),77,Polk,1031200,VODKA FLAVORED,205,E AND J GALLO WINERY,40594,New Amsterdam Peach,12,750,6.90,10.35,12,124.20,9.00,2.38
S15070900015,10/10/2013,3769,Wal-Mart 0753 / Cedar Fall,525 BRANDILYNN BLVD,CEDAR FALLS,50613,POINT (-92.440394 42.485042),07,Black Hawk,1032080,IMPORTED VODKA,65,Jim Beam Brands,34578,Pinnacle Vodka,6,1750,12.07,18.11,6,108.66,10.50,2.77
S17471500053,02/18/2014,3762,Wine and Spirits Gallery,7690 HICKMAN RD,WINDSOR HEIGHTS,50322,,77,Polk,1011200,STRAIGHT BOURBON WHISKIES,434,Luxco-St Louis,18196,Ezra Brooks 50 Mo Ky Sour Mash Bourbon,12,750,6.05,9.08,1,9.08,0.75,0.20
S23820000008,02/03/2015,4176,Todds On The Go,235 EDGEWOOD RD NE,CEDAR RAPIDS,52405,,57,Linn,1052010,IMPORTED GRAPE BRANDIES,420,"Moet Hennessy USA, Inc.",48105,Hennessy VS,12,375,9.99,14.99,12,179.88,4.50,1.19
S19263900066,06/02/2014,2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,,77,Polk,1081400,TRIPLE SEC,434,Luxco-St Louis,86251,Juarez Triple Sec,12,1000,2.21,3.31,12,39.72,12.00,3.17
S28367300122,10/08/2015,2663,Hy-Vee / Urbandale,8701 DOUGLAS,URBANDALE,50322,POINT (-93.739105 41.629364),77,Polk,1032200,IMPORTED VODKA - MISC,434,Luxco-St Louis,76676,Pearl Pumpkin Spice,12,750,7.86,11.79,12,141.48,9.00,2.38
S17495200016,02/19/2014,3973,Mmdg Spirits / Ames,126A WELCH AVE,AMES,50014,POINT (-93.650131 42.021789),85,Story,1062300,FLAVORED RUM,35,"Bacardi U.S.A., Inc.",43117,Bacardi O,12,1000,10.24,15.35,3,46.05,3.00,0.79
S06913900091,08/02/2012,2567,Hy-Vee Drugstore / Davenport,2200 WEST KIMBERLY,DAVENPORT,52806,POINT (-90.608201 41.560663),82,Scott,1031200,VODKA FLAVORED,380,Phillips Beverage Company,41604,Uv Grape Vodka,12,750,6.25,9.49,2,18.98,1.50,0.40
S06892100041,08/01/2012,3704,Celtics Beverage Company,1122 BROADWAY,EMMETSBURG,50536,POINT (-94.678807 43.10937),74,Palo Alto,1011100,BLENDED WHISKIES,260,Diageo Americas,27554,Seagrams Seven Crown Dark Honey,12,750,8.17,12.26,2,24.52,1.50,0.40
S27961500011,09/17/2015,3888,Wal-Mart 0647 / Grinnell,415 INDUSTRIAL AVE,GRINNELL,50112,POINT (-92.730259 41.720919),79,Poweshiek,1012200,SCOTCH WHISKIES,55,Sazerac North America,8828,Lauder's,6,1750,11.18,16.77,6,100.62,10.50,2.77
S20322000013,07/28/2014,2960,Dahl's / Wdm,1208 PROSPECT,WEST DES MOINES,50265,POINT (-93.71984 41.580977),77,Polk,1031080,VODKA 80 PROOF,260,Diageo Americas,37996,Smirnoff Vodka 80 Prf,12,750,8.25,12.37,12,148.44,9.00,2.38
S18455000005,04/16/2014,4646,Pronto Market / Fairbank,104 4th ST,FAIRBANK,50629,POINT (-92.098282 42.85035400000001),10,Buchanan,1031080,VODKA 80 PROOF,297,Laird And Company,35926,Five O'clock PET Vodka,12,750,3.37,5.06,12,60.72,9.00,2.38
S09387600041,12/10/2012,3980,Wal-Mart 1721 / Iowa City,919 HWY 1 WEST,IOWA CITY,52246,POINT (-91.552125 41.646646),52,Johnson,1011100,BLENDED WHISKIES,434,Luxco-St Louis,24158,Hawkeye Blend Whiskey,6,1750,7.38,11.07,12,132.84,21.00,5.55
S24712900030,03/25/2015,3573,Quik Shop Foods / Four M In,405 S MADISON,OTTUMWA,52501,POINT (-92.41041400000002 40.999034),90,Wapello,1081700,DISTILLED SPIRITS SPECIALTY,55,Sazerac North America,76227,Montezuma Blue,12,1000,4.50,6.75,48,324.00,48.00,12.68
S06877200019,08/01/2012,4187,Jensen Liquor North,109  5TH ST,SIBLEY,51249,POINT (-95.759943 43.403935),72,Osceola,1062310,SPICED RUM,260,Diageo Americas,43337,Captain Morgan Spiced Rum,12,1000,11.30,16.94,12,203.28,12.00,3.17
S06558200068,07/12/2012,2517,Hy-Vee Food Store #1 / Newton,1501 FIRST AVENUE EAST,NEWTON,50208,POINT (-93.034296 41.69916),50,Jasper,1011300,TENNESSEE WHISKIES,85,Brown-Forman Corporation,26828,Jack Daniels Old #7 Black Lbl,6,1750,27.17,40.75,12,489.00,21.00,5.55
S10285600134,01/29/2013,2649,Hy-Vee #3 / Dubuque,400 LOCUST ST,DUBUQUE,52001,POINT (-90.666497 42.49721900000001),31,Dubuque,1081330,PEACH SCHNAPPS,434,Luxco-St Louis,84456,Paramount Peach Schnapps,12,750,4.08,6.13,4,24.52,3.00,0.79
S08982400015,11/15/2012,3926,Liquor Downtown / Iowa City,315 S GILBERT ST,IOWA CITY,52240,POINT (-91.530181 41.657654),52,Johnson,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36308,Hawkeye Vodka,6,1750,7.13,10.70,30,321.00,52.50,13.87
S23868700176,02/04/2015,2614,Hy-Vee #3 Food and Drugstore,1823 E KIMBERLY RD,DAVENPORT,52807,POINT (-90.548919 41.55678100000001),82,Scott,1011100,BLENDED WHISKIES,65,Jim Beam Brands,24451,Kessler Blend Whiskey Mini,12,500,5.23,7.85,2,15.70,1.00,0.26
S14328200054,09/04/2013,4481,THE LIQUOR HOUSE,425 GILBERT ST,IOWA CITY,52240,POINT (-91.530225 41.656031),52,Johnson,1012100,CANADIAN WHISKIES,260,Diageo Americas,10836,Crown Royal Black,12,750,17.00,25.49,3,76.47,2.25,0.59
S21584500049,10/06/2014,5040,Wilton Express,1300 NICOLAUS ST,WILTON,52778,POINT (-91.034817 41.589962),70,Muscatine,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19066,Jim Beam,12,750,10.49,15.74,3,47.22,2.25,0.59
S24680200020,03/24/2015,4228,Fareway Stores #462 / Vinton,501 A AVE,VINTON,52349,POINT (-92.025603 42.166166),06,Benton,1071100,AMERICAN COCKTAILS,395,Proximo,58885,Jose Cuervo Light Wild Berry Margarita,6,1750,8.20,12.30,6,73.80,10.50,2.77
S25689000091,05/18/2015,2517,Hy-Vee Food Store #1 / Newton,1501 FIRST AVENUE EAST,NEWTON,50208,POINT (-93.034296 41.69916),50,Jasper,1041100,AMERICAN DRY GINS,434,Luxco-St Louis,30528,Hawkeye Gin,6,1750,7.17,10.76,6,64.56,10.50,2.77
S17766800029,03/06/2014,2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,,77,Polk,1022100,TEQUILA,85,Brown-Forman Corporation,3655,Herradura Silver,6,750,20.94,31.41,6,188.46,4.50,1.19
S14806900030,09/26/2013,3692,Wilkie Liquors,724  1ST ST E,MT VERNON,52314,POINT (-91.960918 41.994458),57,Linn,1032200,IMPORTED VODKA - MISC,277,Stoli Group,34871,Stolichnaya Razberi Vodka 75 Proof,12,1000,16.80,25.19,12,302.28,12.00,3.17
S19934400036,07/07/2014,2535,Hy-Vee Food Store #1 / WDM,1700 VALLEY WEST DR,WEST DES MOINES,50265,,77,Polk,1071100,AMERICAN COCKTAILS,395,Proximo,58838,Jose Cuervo Authentic Lime Margarita,6,1750,8.20,12.30,6,73.80,10.50,2.77
S08200100082,10/09/2012,3390,Okoboji Avenue Liquor,1610 OKOBOJI AVENUE,MILFORD,51351,POINT (-95.149955 43.331525),30,Dickinson,1081315,CINNAMON SCHNAPPS,65,Jim Beam Brands,71441,After Shock Cinnamon Liqueur Mini,12,500,15.83,23.74,1,23.74,0.50,0.13
S10837200008,02/27/2013,2626,Hy-Vee Drugstore / University / DSM,4100 UNIVERSITY AVE,DES MOINES,50311,POINT (-93.673222 41.600361),77,Polk,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64865,Fireball Cinnamon Whiskey PET,12,750,8.66,12.99,60,779.40,45.00,11.89
S06259200053,06/26/2012,3952,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,POINT (-90.48065 41.529655),82,Scott,1031200,VODKA FLAVORED,380,Phillips Beverage Company,41694,Uv Blue (raspberry) Vodka,12,1000,7.50,11.25,24,270.00,24.00,6.34
S23794000084,02/02/2015,2591,Hy-Vee Wine and Spirits / Atlantic,1602 E. 7TH ST.,ATLANTIC,50022,POINT (-94.990031 41.403856),15,Cass,1081200,CREAM LIQUEURS,260,Diageo Americas,68022,Bailey's Salted Caramel,12,750,13.25,19.88,24,477.12,18.00,4.76
S20552800049,08/07/2014,4165,I-35 Spirits / Ankeny,113 SE DELAWARE AVE STE 101,ANKENY,50023,POINT (-93.581093 41.731416),77,Polk,1011300,TENNESSEE WHISKIES,85,Brown-Forman Corporation,26828,Jack Daniels Old #7 Black Lbl,6,1750,28.69,43.04,2,86.08,3.50,0.92
S15930500026,11/25/2013,2413,Beecher Beverage,1691 ASBURY ROAD,DUBUQUE,52001,POINT (-90.696886 42.500775000000004),31,Dubuque,1031080,VODKA 80 PROOF,297,Laird And Company,35926,Five O'clock PET Vodka,12,750,3.37,5.06,12,60.72,9.00,2.38
S20667500031,08/14/2014,4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT (-93.613739 41.60572),77,Polk,1032080,IMPORTED VODKA,420,"Moet Hennessy USA, Inc.",34162,Belvedere Vodka,6,1000,20.63,30.95,6,185.70,6.00,1.59
S11651400021,04/16/2013,3612,B and C Liquor / Maquoketa,509 E PLATT,MAQUOKETA,52060,POINT (-90.659692 42.06922000000001),49,Jackson,1081390,IMPORTED SCHNAPPS,421,"Sazerac Co., Inc.",69637,Dr. Mcgillicuddy's Cherry Schnapps,12,1000,11.00,16.50,24,396.00,24.00,6.34
S18073700011,03/27/2014,3618,Wal-Mart 2716 / Cedar Rapids,3601 29TH AVE SW,CEDAR RAPIDS,52404,POINT (-91.718042 41.949215),57,Linn,1062310,SPICED RUM,259,Heaven Hill Brands,43028,Admiral Nelson Spiced Rum,6,1750,11.55,17.32,18,311.76,31.50,8.32
S16027300023,12/02/2013,4742,No Frills Supermarkets #786 / Counci,"1817, W BROADWAY",COUNCIL BLUFFS,51501,POINT (-95.870993 41.261863),78,Pottawattamie,1082900,MISC. IMPORTED CORDIALS & LIQUEURS,259,Heaven Hill Brands,65195,Hpnotiq,6,750,8.83,13.74,6,82.44,4.50,1.19
S18391700111,04/14/2014,3773,Benz Distributing,501 7TH AVE SE,CEDAR RAPIDS,52401,POINT (-91.659875 41.97574),57,Linn,1052010,IMPORTED GRAPE BRANDIES,65,Jim Beam Brands,47786,Courvoisier Vs Cognac,12,750,15.75,23.63,3,70.89,2.25,0.59
S16900300045,01/22/2014,3890,Smokin' Joe's #7 Tobacco and Liquor,904  1ST AVE NW,CEDAR RAPIDS,52405,POINT (-91.683669 41.972773),57,Linn,1081200,CREAM LIQUEURS,305,MHW Ltd,73050,Rumchata,6,750,12.50,18.75,1,18.75,0.75,0.20
S26421700004,06/25/2015,5093,Cody Mart,1220 N CODY RD,LE CLAIRE,52753,POINT (-90.34429 41.611036),82,Scott,1012100,CANADIAN WHISKIES,260,Diageo Americas,11298,Crown Royal Canadian Whisky,6,1750,31.99,47.99,2,95.98,3.50,0.92
S03774600074,01/26/2012,3926,Liquor Downtown / Iowa City,315 S GILBERT ST,IOWA CITY,52240,POINT (-91.530181 41.657654),52,Johnson,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45248,Paramount Gold Rum,6,1750,7.58,11.37,6,68.22,10.50,2.77
